,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,lsun,linkage_average,5.0,0.7849250808518833,0.807146879655741,0.667900609404739
0,fcps,lsun,linkage_weighted,5.0,0.7701869379982286,0.8034295830981465,0.6462981415701875
0,fcps,lsun,linkage_centroid,5.0,0.7849250808518833,0.807146879655741,0.667900609404739
0,fcps,lsun,linkage_median,5.0,0.8158661556239586,0.856565428300047,0.7138520110934243
0,fcps,lsun,linkage_ward,5.0,0.779024514781706,0.8066752720317104,0.6592288207477189
0,fcps,lsun,genie,5.0,0.7735590309066198,0.7010761923370552,0.5283687943262412
0,fcps,lsun,kmeans,5.0,0.7707966766784373,0.8022278703154392,0.6471880310606389
0,fcps,lsun,dbscan,5.0,1.0,1.0,1.0
0,fcps,lsun,meanshift,5.0,0.6936341859139924,0.40993457999245403,0.3694580373876511
0,fcps,tetra,linkage_single,2.0,0.496869901732959,3.6543186020767395e-15,0.0
0,fcps,tetra,linkage_average,2.0,0.6261326210626762,0.5590337712990562,0.3242935909899729
0,fcps,tetra,linkage_weighted,2.0,0.6305476678616638,0.5755107256477013,0.3316582914572865
0,fcps,tetra,linkage_centroid,2.0,0.4981167541368988,3.844111804577311e-15,0.0
0,fcps,tetra,linkage_median,2.0,0.4981167541368988,3.844111804577311e-15,0.0
0,fcps,tetra,linkage_ward,2.0,0.6305476678616638,0.5755107256477013,0.3316582914572865
0,fcps,tetra,genie,2.0,0.6305476678616638,0.5755107256477013,0.3316582914572865
